,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
90,Yasin Ayari,MF,se Sweden,22-267,1.eng Brighton,2003,3,3,258,2.9,2,0,2,2,0,0,1,0,0.7,0,0.7,0.7,0.7,Matches
91,O?uz Ayd?n,DF,tr Türkiye,25-246,1.tr Fenerbahçe,2000,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
92,Jordan Ayew,FW,gh Ghana,34-292,2.eng Leicester City,1991,3,3,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
93,Kaan Ayhan,"DF,MF",tr Türkiye,31-232,1.tr Galatasaray,1994,1,0,3,0,1,0,1,1,0,0,0,0,30,0,30,30,30,Matches
94,Neil El Aynaoui,MF,ma Morocco,24-363,1.it Roma,2001,4,4,382,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
95,Ali Azaizeh,MF,jo Jordan,22-078,1.sa Al-Shabab,2004,3,1,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Juninho Bacuna,MF,cw Curaçao,28-327,1.nl Volendam,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
97,Leandro Bacuna,MF,cw Curaçao,34-313,2.tr 76 I?d?r Belediyespor,1991,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
98,Álex Baena,FW,es Spain,24-345,1.es Atlético Madrid,2001,2,2,126,1.4,1,0,1,1,0,0,1,0,0.71,0,0.71,0.71,0.71,Matches
99,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21-112,1.nl PSV,2005,3,2,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
100,Cédric Bakambu,FW,cd Congo DR,35-080,1.es Real Betis,1991,3,3,190,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
